"title","url","matchedKeywords","targetFolderKey","targetFolder","page","pageUrl","matchedAt"
"[GET] Alex Pereira â€“ Faceless Capital ($97.00)","https://bestblackhatforum.com/Thread-GET-Alex-Pereira-%E2%80%93-Faceless-Capital-97-00?pid=4642260&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
"[GET] FREE Dot Com Secrets Book","https://bestblackhatforum.com/Thread-GET-FREE-Dot-Com-Secrets-Book&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
"[GET] Grandma's Profit Revenge + OTO","https://bestblackhatforum.com/Thread-GET-Grandma-s-Profit-Revenge-OTO&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
"[GET] List Profit Generator | The Most Feature-Ric...","https://bestblackhatforum.com/Thread-GET-List-Profit-Generator-The-Most-Feature-Rich-Pay-Per-Lead-Software-Available?pid=1044245&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
"[GET] List Profit Generator | The Most Feature-Rich Pay Per Lead Software Available","https://bestblackhatforum.com/Thread-GET-List-Profit-Generator-The-Most-Feature-Rich-Pay-Per-Lead-Software-Available&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
"[GET] Mario Brown - FBV Commission Profits","https://bestblackhatforum.com/Thread-GET-Mario-Brown-FBV-Commission-Profits&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
"[GET] Mario Brown - FBV Commission Profits","https://bestblackhatforum.com/Thread-GET-Mario-Brown-FBV-Commission-Profits?pid=2108502&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
"[GET] Newbie Affiliate Playbook by Steve Harvey","https://bestblackhatforum.com/Thread-GET-Newbie-Affiliate-Playbook-by-Steve-Harvey&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
"[GET] Newbie Affiliate Playbook by Steve Harvey","https://bestblackhatforum.com/Thread-GET-Newbie-Affiliate-Playbook-by-Steve-Harvey?pid=3021783&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
"[REQ GB] Explaindio 2.0 Upsells","https://bestblackhatforum.com/Thread-REQ-GB-Explaindio-2-0-Upsells&highlight=affiliate+leaderboard","affiliate leaderboard","02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","G:\Documents\warriorplus MMO\Agent PLR Saas\input_files\02_JV_MANAGER\06_Leaderboard_Contest\affiliate_leaderboard","1","https://bestblackhatforum.com/search.php?action=results&sid=fb9fbbf8745e62e6ef7b12b107e377c7&sortby=&order=desc","2026-05-11T10:52:22.939Z"
