"pass","archive","extension","size_gb","output_dir","status","deleted","exit_code","detail_log","message"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\The_Ultimate_SAAS_Course_SLENDERMAN_BBHF\Notion SOPs\PDF.zip",".zip","0.0034","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\The_Ultimate_SAAS_Course_SLENDERMAN_BBHF\Notion SOPs\PDF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0011_PDF.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Ultimate_ADHD_Brain_Template_2.0_SLENDERMAN_BBHF\HTML.zip",".zip","0.0257","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Ultimate_ADHD_Brain_Template_2.0_SLENDERMAN_BBHF\HTML","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0012_HTML.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Ultimate_ADHD_Brain_Template_2.0_SLENDERMAN_BBHF\PDF.zip",".zip","0.1012","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Ultimate_ADHD_Brain_Template_2.0_SLENDERMAN_BBHF\PDF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0013_PDF.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #1 - Ready-To-Publish Report.zip",".zip","0.0008","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #1 - Ready-To-Publish Report","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0014_Module__1_-_Ready-To-Publish_Report.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #2 - PRO E-Cover Graphics.zip",".zip","0.0096","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #2 - PRO E-Cover Graphics","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0015_Module__2_-_PRO_E-Cover_Graphics.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #3 - Lead Capture & Delivery.zip",".zip","0.0004","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #3 - Lead Capture & Delivery","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0016_Module__3_-_Lead_Capture___Delivery.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #4_#5 - Affiliate Center, Emails, Banners.zip",".zip","0.0004","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #4_#5 - Affiliate Center, Emails, Banners","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0017_Module__4__5_-_Affiliate_Center__Emails__Banners.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #6 - Banner Graphics.zip",".zip","0.0011","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\7WAYS-PROFIT-BITCOIN\Module #6 - Banner Graphics","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0018_Module__6_-_Banner_Graphics.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\ak-slide-deck.zip",".zip","0.0204","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\ak-slide-deck","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0019_ak-slide-deck.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\akfrontend.zip",".zip","0.0937","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\akfrontend","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0020_akfrontend.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\premiumpack.rar",".rar","0.0389","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\premiumpack","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0021_premiumpack.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\Volume+1.zip",".zip","0.0001","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\Volume+1","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0022_Volume_1.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\Volume+2.zip",".zip","0.0001","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\Volume+2","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0023_Volume_2.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\Volume+3.zip",".zip","0.0001","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Absolute Keto PLR\Absolute Keto PLR\Volume+3","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0024_Volume_3.log","extracted successfully; archive deleted"
"1","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Abundance_Print_Big_Reset_SLENDERMAN_BBHF\GratitudeWorks_mrr.zip",".zip","0.0205","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Abundance_Print_Big_Reset_SLENDERMAN_BBHF\GratitudeWorks_mrr","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\nested_archive_extract_details_20260510_200748\pass1_0025_GratitudeWorks_mrr.log","extracted successfully; archive deleted"
