"archive","extension","size_gb","output_dir","status","deleted","exit_code","detail_log","message"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\DetoxYourBodyForBetterHealth__MRR.zip",".zip","0.0019","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\DetoxYourBodyForBetterHealth__MRR","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\013_DetoxYourBodyForBetterHealth__MRR.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Digital-EmpirePLRpack.zip",".zip","0.0035","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Digital-EmpirePLRpack","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\014_Digital-EmpirePLRpack.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Digital-Rocket-FuelPLRpack.zip",".zip","0.0052","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Digital-Rocket-FuelPLRpack","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\015_Digital-Rocket-FuelPLRpack.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Digital_Product_Masterclass_FE_FRONTEND.zip",".zip","0.0875","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Digital_Product_Masterclass_FE_FRONTEND","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\016_Digital_Product_Masterclass_FE_FRONTEND.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Driving_Force_Within.zip",".zip","0.0001","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Driving_Force_Within","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\017_Driving_Force_Within.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Dynamite-ReportsPLRpack.zip",".zip","0.0019","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Dynamite-ReportsPLRpack","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\018_Dynamite-ReportsPLRpack.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Ebook Part-1.zip",".zip","0.3192","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Ebook Part-1","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\019_Ebook_Part-1.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Ecommerce-OverdrivePLRpack.zip",".zip","0.0044","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Ecommerce-OverdrivePLRpack","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\020_Ecommerce-OverdrivePLRpack.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Email-MonetizerPLRpack.zip",".zip","0.0018","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Email-MonetizerPLRpack","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\021_Email-MonetizerPLRpack.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Engage-Convert-ScalePLRpack.zip",".zip","0.0777","G:\Documents\warriorplus MMO\Agent PLR Saas\plr_files\_INBOX_DROP_HERE\Engage-Convert-ScalePLRpack","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_continue_20260510_193214\022_Engage-Convert-ScalePLRpack.log","extracted successfully; archive deleted"
