"archive","extension","size_gb","output_dir","status","deleted","exit_code","detail_log","message"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Irresistible_Copy_32_Pages_Gumroad_SLENDERMAN_BBHF.zip",".zip","0.0004","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Irresistible_Copy_32_Pages_Gumroad_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\011_Irresistible_Copy_32_Pages_Gumroad_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF.zip",".zip","2.6972","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\012_Kyle_Balmer_AI_Business_Playbook_Vault_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Matt_Serviuos_AI_Profit_Slender.zip",".zip","0.4161","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Matt_Serviuos_AI_Profit_Slender","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\013_Matt_Serviuos_AI_Profit_Slender.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF.zip",".zip","0.7808","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\014_Notion_For_Agencies_and_AgencyHQ_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_Second_Brain_SLENDER.zip",".zip","0.0011","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_Second_Brain_SLENDER","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\015_Notion_Second_Brain_SLENDER.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_Startup_OS_Slender.zip",".zip","0.1622","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Notion_Startup_OS_Slender","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\016_Notion_Startup_OS_Slender.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Opulentos_Black_Hat_Bible_Gumroad_SLENDERMAN_BBHF.zip",".zip","0.0037","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Opulentos_Black_Hat_Bible_Gumroad_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\017_Opulentos_Black_Hat_Bible_Gumroad_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Programmatic_SEO_Tools_2024.zip",".zip","0.0003","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\Programmatic_SEO_Tools_2024","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\018_Programmatic_SEO_Tools_2024.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_and_Ecommerce_Growth_Hacks_Bundle_SM_BBHF.zip",".zip","0.0004","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_and_Ecommerce_Growth_Hacks_Bundle_SM_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\019_SaaS_and_Ecommerce_Growth_Hacks_Bundle_SM_BBHF.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Email_Marketing_Handbook_Complete_Package_Slender.zip",".zip","1.4927","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Email_Marketing_Handbook_Complete_Package_Slender","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\020_SaaS_Email_Marketing_Handbook_Complete_Package_Slender.log","extracted successfully; archive deleted"
"G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF.zip",".zip","3.9524","G:\Documents\warriorplus MMO\Agent PLR Saas\saas_files\_INBOX_DROP_HERE\SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF","extracted_deleted","True","0","G:\Documents\warriorplus MMO\Agent PLR Saas\reports\archive_extract_details_20260510_192820\021_SaaS_Email_Marketing_Masterclass_Gumroad_SLENDERMAN_BBHF.log","extracted successfully; archive deleted"
